Date,Open,High,Low,Close,Volume
2018-02-20,172.05,174.26,171.42,171.85,33690660
2018-02-21,172.83,174.12,171.01,171.07,37378070
2018-02-22,171.8,173.95,171.71,172.5,30953760
2018-02-23,173.67,175.65,173.54,175.5,33772050
2018-02-26,176.35,179.39,176.21,178.97,37353670
2018-02-27,179.1,180.48,178.16,178.39,38885510
2018-02-28,179.26,180.615,178.05,178.12,37568080
2018-03-01,178.54,179.775,172.66,175,48706170
2018-03-02,172.8,176.3,172.45,176.21,38426060
2018-03-05,175.21,177.74,174.52,176.82,27825140
2018-03-06,177.91,178.25,176.13,176.67,23273160
2018-03-07,174.94,175.85,174.27,175.03,31686450
2018-03-08,175.48,177.12,175.07,176.94,24518850
2018-03-09,177.96,180,177.39,179.98,32130360
2018-03-12,180.29,182.39,180.21,181.72,32191070
2018-03-13,182.59,183.5,179.24,179.97,31464170
2018-03-14,180.32,180.52,177.81,178.44,29334630
2018-03-15,178.5,180.24,178.0701,178.65,22676520
2018-03-16,178.65,179.12,177.62,178.02,38313330
2018-03-19,177.32,177.47,173.66,175.3,32931110
2018-03-20,175.24,176.8,174.94,175.24,19620520
2018-03-21,175.04,175.09,171.26,171.27,36387880
2018-03-22,170,172.68,168.6,168.85,41335980
2018-03-23,168.39,169.92,164.94,164.94,40984540
2018-03-26,168.07,173.1,166.44,172.77,36778560
2018-03-27,173.68,175.15,166.92,168.34,39824200
2018-03-28,167.25,170.02,165.19,166.48,41464880
2018-03-29,167.805,171.75,166.9,167.78,38116290
2018-04-02,167.88,168.94,164.47,166.68,37425640
2018-04-03,167.64,168.7455,164.88,168.39,30237640
2018-04-04,164.88,172.01,164.77,171.61,34581850
2018-04-05,172.58,174.2304,172.08,172.8,26750260
2018-04-06,170.97,172.48,168.2,168.38,34949690
2018-04-09,169.88,173.09,169.845,170.05,28976200
2018-04-10,173,174,171.53,173.25,28567110
2018-04-11,172.23,173.9232,171.7,172.44,22401040
2018-04-12,173.41,175,173.04,174.14,22858840
2018-04-13,174.78,175.84,173.85,174.73,25100510
2018-04-16,175.0301,176.19,174.8301,175.82,21561320
2018-04-17,176.49,178.9365,176.41,178.24,26575010
2018-04-18,177.81,178.82,176.88,177.84,20544600
2018-04-19,174.95,175.39,172.66,172.8,34693280
2018-04-20,170.595,171.2184,165.43,165.72,65270950
2018-04-23,166.835,166.92,164.09,165.24,36396590
2018-04-24,165.67,166.33,161.2201,162.94,33674960
2018-04-25,162.62,165.42,162.41,163.65,28331540
2018-04-26,164.12,165.73,163.37,164.22,27850370
2018-04-27,164,164.33,160.63,162.32,35617230
2018-04-30,162.13,167.26,161.84,165.26,41976500
2018-05-01,166.41,169.2,165.27,169.1,52228910
2018-05-02,175.225,177.75,173.8,176.57,66454720
2018-05-03,175.88,177.5,174.4411,176.89,33944110
2018-05-04,178.25,184.25,178.17,183.83,56137230
2018-05-07,185.18,187.67,184.75,185.16,42557530
2018-05-08,184.99,186.22,183.665,186.05,28053230
2018-05-09,186.55,187.4,185.22,187.36,23141260
2018-05-10,187.74,190.37,187.65,190.04,27942430
2018-05-11,189.49,190.06,187.45,188.59,26167950
2018-05-14,189.01,189.53,187.86,188.15,20393070
2018-05-15,186.78,187.07,185.1,186.44,23639070
2018-05-16,186.07,188.46,186,188.18,19046600
2018-05-17,188,188.91,186.36,186.99,17014490
2018-05-18,187.19,187.8102,186.13,186.31,18083080
2018-05-21,188,189.27,186.9106,187.63,18383080
2018-05-22,188.375,188.88,186.78,187.16,15228270
2018-05-23,186.35,188.5,185.76,188.36,19966590
2018-05-24,188.77,188.84,186.21,188.15,23129400
2018-05-25,188.23,189.65,187.65,188.58,17186760
2018-05-29,187.6,188.75,186.87,187.9,22409110
2018-05-30,187.72,188,186.78,187.5,18503410
2018-05-31,187.22,188.23,186.14,186.87,27468700
2018-06-01,187.991,190.26,187.75,190.24,23377690
2018-06-04,191.635,193.42,191.35,191.83,26190620
2018-06-05,193.065,193.94,192.36,193.31,21535570
2018-06-06,193.63,194.08,191.92,193.98,20912820
2018-06-07,194.14,194.2,192.335,193.46,21329170
2018-06-08,191.17,192,189.77,191.7,26580710
2018-06-11,191.35,191.97,190.21,191.23,18069930
2018-06-12,191.385,192.611,191.15,192.28,16859020
2018-06-13,192.42,192.88,190.44,190.7,21480120
2018-06-14,191.55,191.57,190.22,190.8,21584720
2018-06-15,190.03,190.16,188.26,188.84,61438290
2018-06-18,187.88,189.22,187.2,188.74,18458410
2018-06-19,185.14,186.33,183.45,185.69,33538550
2018-06-20,186.35,187.2,185.73,186.5,20490090
2018-06-21,187.25,188.35,184.94,185.46,25649240
2018-06-22,186.12,186.15,184.7,184.92,27185130
2018-06-25,183.4,184.92,180.73,182.17,31632320
2018-06-26,182.99,186.53,182.54,184.43,24378480
2018-06-27,185.228,187.28,184.03,184.16,24987260
2018-06-28,184.1,186.21,183.8,185.5,17352380
2018-06-29,186.29,187.19,182.91,185.11,22551660
2018-07-02,183.82,187.3,183.42,187.18,17675210
2018-07-03,187.79,187.95,183.54,183.92,13954810
2018-07-05,185.26,186.41,184.28,185.4,16543880
2018-07-06,185.42,188.434,185.2,187.97,17426160
2018-07-09,189.5,190.68,189.3,190.58,19636390
2018-07-10,190.71,191.28,190.1801,190.35,15801370
2018-07-11,188.5,189.7799,187.61,187.88,18776390
2018-07-12,189.53,191.41,189.31,191.03,18000180
2018-07-13,191.08,191.84,190.9,191.33,12506830
2018-07-16,191.52,192.65,190.415,190.91,15009800
2018-07-17,189.75,191.87,189.2,191.45,15515000
2018-07-18,191.78,191.8,189.93,190.4,16365720
2018-07-19,189.69,192.55,189.69,191.88,20182050
2018-07-20,191.78,192.43,190.17,191.44,20670830
2018-07-23,190.68,191.96,189.56,191.61,15955820
2018-07-24,192.45,193.6601,192.05,193,18680930
2018-07-25,193.06,194.85,192.43,194.82,16553500
2018-07-26,194.61,195.96,193.61,194.21,19005150
2018-07-27,194.99,195.19,190.1,190.98,23975350
2018-07-30,191.9,192.2,189.07,189.91,20912890
2018-07-31,190.3,192.14,189.34,190.29,37847260
2018-08-01,199.13,201.76,197.31,201.5,67812280
2018-08-02,200.58,208.38,200.35,207.39,62317430
2018-08-03,207.03,208.74,205.4803,207.99,33408050
2018-08-06,208,209.25,207.07,209.07,25396100
2018-08-07,209.32,209.5,206.76,207.11,25525650
2018-08-08,206.05,207.81,204.52,207.25,22493750
2018-08-09,207.28,209.78,207.2,208.88,23389530
2018-08-10,207.36,209.1,206.67,207.53,24592460
2018-08-13,207.7,210.952,207.7,208.87,25864510
2018-08-14,210.155,210.56,208.26,209.75,20679270
2018-08-15,209.22,210.74,208.33,210.24,28595230
2018-08-16,211.75,213.8121,211.47,213.32,27595310
2018-08-17,213.44,217.95,213.16,217.58,35034410
2018-08-20,218.1,219.18,215.11,215.46,30149410
2018-08-21,216.8,217.19,214.025,215.04,25682700
2018-08-22,214.1,216.36,213.84,215.05,18965930
2018-08-23,214.65,217.05,214.6,215.49,18505780
2018-08-24,216.6,216.9,215.11,216.16,18457720
2018-08-27,217.15,218.74,216.33,217.94,20400770
2018-08-28,219.01,220.54,218.92,219.7,22751390
2018-08-29,220.15,223.49,219.41,222.98,27074260
2018-08-30,223.25,228.26,222.4,225.03,48696960
2018-08-31,226.51,228.87,226,227.63,43177540
2018-09-04,228.41,229.18,226.63,228.36,27363960
2018-09-05,228.99,229.67,225.1,226.87,33290830
2018-09-06,226.23,227.35,221.3,223.1,34121240
2018-09-07,221.85,225.37,220.71,221.3,37418910
2018-09-10,220.95,221.85,216.47,218.33,39194720
2018-09-11,218.01,224.299,216.56,223.85,35644510
2018-09-12,224.94,225,219.84,221.07,49118510
2018-09-13,223.52,228.35,222.57,226.41,41411350
2018-09-14,225.75,226.84,222.522,223.84,31801970
2018-09-17,222.15,222.95,217.27,217.88,36810120
2018-09-18,217.79,221.85,217.12,218.24,31495630
2018-09-19,218.5,219.62,215.3,218.37,26869880
2018-09-20,220.24,222.28,219.15,220.03,26388050
2018-09-21,220.78,221.36,217.29,217.66,95584080
2018-09-24,216.82,221.26,216.63,220.79,27581270
2018-09-25,219.75,222.82,219.7,222.19,22811140
2018-09-26,221,223.75,219.76,220.42,23430370
2018-09-27,223.82,226.44,223.54,224.95,29729270
2018-09-28,224.79,225.84,224.02,225.74,22560440
2018-10-01,227.95,229.42,226.35,227.26,23171020
2018-10-02,227.25,230,226.63,229.28,24435010
2018-10-03,230.05,233.47,229.78,232.07,28540490
2018-10-04,230.78,232.35,226.73,227.99,31961120
2018-10-05,227.96,228.41,220.58,224.29,33507770
2018-10-08,222.21,224.8,220.2,223.77,28784550
2018-10-09,223.64,227.27,222.2462,226.87,26656630
2018-10-10,225.46,226.35,216.05,216.36,41084070
2018-10-11,214.52,219.5,212.32,214.45,52902320
2018-10-12,220.42,222.88,216.84,222.11,39494770
2018-10-15,221.16,221.83,217.27,217.36,30280450
2018-10-16,218.93,222.99,216.7627,222.15,28802550
2018-10-17,222.3,222.64,219.34,221.19,22692880
2018-10-18,217.86,219.74,213,216.02,32389280
2018-10-19,218.06,221.26,217.43,219.31,32874330
2018-10-22,219.79,223.36,218.94,220.65,28751540
2018-10-23,215.83,223.25,214.7,222.73,38681170
2018-10-24,222.6,224.23,214.54,215.09,39992120
2018-10-25,217.71,221.38,216.75,219.8,29027340
2018-10-26,215.9,220.19,212.67,216.3,47191700
2018-10-29,219.19,219.69,206.09,212.24,45713690
2018-10-30,211.15,215.18,209.27,213.3,36487930
2018-10-31,216.88,220.45,216.62,218.86,38016810
2018-11-01,219.05,222.36,216.81,222.22,52954070
2018-11-02,209.55,213.65,205.43,207.48,91046560
2018-11-05,204.3,204.39,198.17,201.59,66072170
2018-11-06,201.92,204.72,201.69,203.77,31774720
2018-11-07,205.97,210.06,204.13,209.95,33291640
2018-11-08,209.98,210.12,206.75,208.49,25289270
2018-11-09,205.55,206.01,202.25,204.47,34317760
2018-11-12,199,199.85,193.79,194.17,50991030
2018-11-13,191.63,197.18,191.4501,192.23,46725710
2018-11-14,193.9,194.48,185.93,186.8,60547340
2018-11-15,188.39,191.97,186.9,191.41,46271660
2018-11-16,190.5,194.9695,189.46,193.53,36191330
2018-11-19,190,190.7,184.99,185.86,41626820
2018-11-20,178.37,181.47,175.51,176.98,67678680
2018-11-21,179.73,180.27,176.55,176.78,31096240
2018-11-23,174.94,176.595,172.1,172.29,23623970
2018-11-26,174.24,174.95,170.26,174.62,44662320
2018-11-27,171.51,174.77,170.88,174.24,41156140
2018-11-28,176.73,181.29,174.93,180.94,45941750
2018-11-29,182.66,182.8,177.7,179.55,41523580
2018-11-30,180.29,180.33,177.03,178.58,39424260
2018-12-03,184.46,184.94,181.21,184.82,40537700
2018-12-04,180.95,182.3899,176.27,176.69,41141250
2018-12-06,171.76,174.78,170.42,174.72,42704910
2018-12-07,173.49,174.49,168.5,169.07,30279266
This document was made with Webix library. http://webix.com,,,,,
